case_num,publication_num,decision_date,court_provided_header,court_provided_keywords,court_provided_class,legal_area,applicant_names,applicant_class,respondent_names,respondent_class
T 335-83,NJA 1986 s. 258,1986-05-22,"Innehavaren av samtliga aktier i ett tomtexploateringsbolag har i eget namn men för bolagets räkning köpt en fastighet, som därefter till största delen exploaterats av bolaget. Vid köparens frånfälle har bolaget väckt talan mot dödsboet med yrkande om bättre rätt till fastigheten. Frågan huruvida bolaget genom köparens fång förvärvat äganderätten till fastigheten har med beaktande av lagen (1925:219) angående förbud i vissa fall för bolag, förening och stiftelse att förvärva fast egendom och lagen (1925:221) om bulvanförhållande i fråga om fast egendom besvarats nekande.","Aktier,Köpavfastegendom,Bättrerätt,",T,19,Stockholms Läns Egnahems AB,Cs,Dödsboet efter S.S.,Pm
T 336-81,NJA 1985 s. 121,1985-02-15,"Som led i en uppgörelse mellan två bolag utställer det ena bolaget ett löpande skuldebrev till det andra. Borgenären pantförskriver skuldebrevet först till en kreditgivare, till vilken skuldebrevet överlämnas, och därefter, i andra hand, till en annan kreditgivare. Primärpanthavaren underrättas om sekundärpantsättningen. Skuldebrevsgäldenären gör härefter framställning hos primärpanthavaren om kvittning med motfordringar på pantsättaren. Motfordringarna har med stöd av 18 § 2 st skuldebrevslagen kunnat göras gällande mot primärpanthavaren, som var i ond tro beträffande motfordringarna. Detta har ansetts inte i och för sig medföra att kvittningen haft verkan också gentemot sekundärpanthavaren, vilken vid tidpunkten för underrättelsen till primärpanthavaren om sekundärpantsättningen eventuellt var i god tro i fråga om motfordringarna. Skuldebrevsgäldenären har emellertid gentemot krav från sekundärpanthavaren på grund av skuldebrevet ansetts kunna åberopa att gäldenären vid kvittningen hos den genom innehavet av skuldebrevet legitimerade primärpanthavaren var i god tro i fråga om förekomsten av sekundärpantsättningen. Fråga också om den närmare innebörden av detta krav på god tro. Dessutom spörsmål om förutsättningarna för att kvittning med s k konnex motfordran skall få äga rum enligt 18 § 2 st skuldebrevslagen.","Skuldbrev,Pantförskrivning,Kvittning,Konnex",T,6,Presstödsnämnden,Oa,Göteborgs-Postens Nya Aktiebolag,Cs
T 336-83,NJA 1985 s. 274,1985-04-03,Fråga om köpares undersökningsplikt vid fastighetsköp. 4 kap 19 § JB.,"Köpavfastegendom,Köpare,Undersökningsplikt",T,6,W.K.,Pw,S.A.,Pm
T 336-85,NJA 1987 s. 815,1987-11-05,"Internationella rättsförhållanden. En dansk 1987:kvinna och en norsk man upprättade en ektepakt (äktenskapsförord) innan de ingick äktenskap. Efter äktenskapets upplösning uppkom tvist mellan dem rörande tolkningen av ektepakten. Parterna, vilka båda hade klar anknytning till Sverige, träffade överenskommelse om att svensk lag skulle läggas till grund för prövningen av tvisten. Mannen har inte ansetts ha åberopat tillräckliga skäl för att han först i HD skulle få återkalla sitt medgivande om tillämplig lag. Äktenskapsförord har ansetts kunna innefatta sådant förordnande om att avkastning skall vara enskild egendom som avses i 6 kap 8 § 2 st GB, trots att ordalagen i förordet inte uttryckligen hänförde sig till avkastningen.","Äktenskapsförord,Internationella",T,"12,18",A.M.,Pw,P.T.,Pm
T 340-81,NJA 1983 s. 496,1983-06-22,"Sedan värnpliktig för skador på grund av trafikolycka vårdats på sjukhus utanför sitt hemlandstings område och staten med stöd av bestämmelser i värnpliktsavlöningsförfattning betalat ersättning för sjukhusvården, uppkommer spörsmål om regressrätt för staten gentemot försäkringsgivare som meddelat trafikförsäkring för den värnpliktiges bil.","Värnpliktig,Trafikolycka,Ersättning,",T,23,Staten,Os,Hansa ,Cs
T 342-81,NJA 1984 s. 340,1984-05-17,"Frågor om skadeståndsskyldighet för kommun enligt 3 kap 2 och 3 §§ skadeståndslagen på grund av påstådda fel vid handläggning av byggnadslovsärenden och efterföljande tillsyn, när uppförd byggnad skadats genom sättningar (1 och II) eller genom inträngande vatten (III). - Att den skadelidande förvärvat fastigheten först efter det att byggnadslov meddelats och huset uppförts hindrar inte att kommunen kan bli skyldig ersätta honom för skador på huset. Fråga även om kommuns skadeståndsskyldighet för fel vid planläggning före skadeståndslagens ikraftträdande (III).","Skadeståndsskyldighet,Kommun,Bygglov,",T,"23,1","J.B.,L.L.,T.B.C.","Pm,Pm,Pm","Nyköpings kommun,Vaxholms kommun,Skövde kommun","Om,Om,Om"
T 344-88,NJA 1989 s. 671,1989-11-17,"I samband med att ett hyreskontrakt upprättades mellan ett bilbolag (uthyrare) och en konsument (hyresman) angående en personbil överlät bilbolaget genom påteckning på kontraktet sina rättigheter enligt kontraktet på ett finansbolag. Hyresmannen bekräftade genom påteckning att han fått del av överlåtelsen. En tid därefter återlämnade hyresmannen bilen till bilbolaget som delbetalning för en annan bil. När finansbolaget sedermera krävde hyresmannen på hyresbetalningar för den återlämnade bilen, uppkom fråga, om hyresmannen varit i god tro angående bilbolagets behörighet att mottaga bilen. Analogisk tillämpning av 29 § lagen (1936:81) om skuldebrev.","Hyraavlösegendom,Godtro,Betalning,Lös",T,6,B & B Finans Factoring Aktiebolag,Cs,T.S.,Pm
T 349-87,NJA 1988 s. 555,1988-11-30,Sedan A såsom fastighetsägare betalat avgift enligt lagen (1970:244) om allmänna vatten- och avloppsanläggningar såldes fastigheten till B. Fråga om återbetalning av del av avgiften skall ske till A eller B.,"Va-anläggning,Fastighetsägare,Avgift,",T,"19,6",Makarna Z.,"Px,Px",K.A.,Px
T 350-86,NJA 1989 s. 291,1989-06-07,"En samfällighetsförening som förvaltar en gemensamhetsanläggning vari ingår en centralantenn har ansetts behörig att fatta beslut om bl a ombyggnad av centralantennanläggningen för mottagande av kabel-TV-sändningar. 18, 28 och 53 §§ lagen (1973:1150) om förvaltning av samfälligheter.","Gemensamhetsanläggning,Kabel-TV,",T,7,"S.J.,A-C.J.","Pm,Pw",Hälletorps samfällighetsförening,Es
T 351-85,NJA 1987 s. 211,1987-04-10,"Fråga huruvida köp av område av fastighet blivit ogiltigt, då ansökan om fastighetsbildning inte gjorts inom sex månader från den dag då köpekontraktet upprättades. 4 kap 7 § JB.","Köpavfastegendom,Fastighetsbildning,",T,19,Gotlands kommun,Om,"S.R-Å.,U.M.","Px,Px"
T 353-87,NJA 1990 s. 469,1990-07-30,Registrering av firman Silva Miljö Aktiebolag har påståtts strida mot firma- och varumärkesrätt som tillkommer SILVA (Sweden) Aktiebolag. Frågor bl a om tillämpning av den s k Kodakregeln i 6 § 2 st firmalagen och om förväxlingsbarhet med varumärke som registrerats men inte använts för varor i samma bransch som firman.,"Firma,Varumärke",T,14,SILVA (Sweden) Aktiebolag,Cs,Silva Miljö Aktiebolag,Cs
T 356-87,NJA 1989 s. 117,1989-03-21,"Makarna Å köpte av makarna C en fastighet för bostadsändamål. Det befanns emellertid att fastigheten vid tiden för köpet saknade stabilitet och att risk förelåg för sättningar. Dessa brister i marken ledde till att fastigheten måste utrymmas till följd av överhängande risk för skred. Då fastigheten över huvud taget inte kunde användas till det vid köpeförhandlingarna av såväl säljare som köpare förutsatta bostadsändamålet, har fastigheten befunnits sakna egenskap som, ehuru utfästelse ej lämnats, ändå kunde anses utfäst. Även fråga om köparnas undersökningsplikt. 4 kap 19 § JB.","Köpavfastegendom,Felifastighet",T,19,"B.Å.,S.Å.","Pm,Px","R.C.,E.C.","Pm,Px"
T 357-83,NJA 1985 s. 414,1985-05-29,En man avled 1979 och efterlämnade som dödsbodelägare sin hustru och en utom äktenskap född dotter. Under en kort period i slutet av 1969 hade makarna företagit en serie rättshandlingar - äktenskapsförord och bodelningar - vilka sammantagna fått till resultat att den alldeles övervägande delen av makarnas giftorättsgods blivit hustruns enskilda egendom. Fråga huruvida och i vad mån rättshandlingarna kan enligt 7 kap 4 § ÄB jämkas för tillgodoseende av dotterns laglottsanspråk.,"Dödsbodelägare,Giftorättsgods,Enskildegendom,",T,8,R.W.,Pw,S.E.,Pw
T 358-88,NJA 1989 s. 692,1989-11-24,Fråga om ett äktenskapsförord som ingåtts av omyndig utan förmyndarens samtycke blivit giltigt på grund av efterföljande godkännande.,"Äktenskapsförord,Omyndighet,Förmyndare,",T,12,M.Ö.,Pw,O.K.,Pm
T 359-85,NJA 1987 s. 383,1987-04-24,Från A har i Stockholm fem cyklar tillgripits under en tid av femton månader. Skadefrekvensen har inte ansetts vara så hög att A:s försäkringsgivare blivit berättigad att säga upp A:s hemförsäkring i vad den omfattade tillgrepp av cykel. 15 § 1 st konsumentförsäkringslagen (1980:38).,"Försäkringsgivare,Uppsägning,Hemförsäkring,",T,23,S.L.,Pm,Försäkrings AB Skandia,Cs
T 36-83,NJA 1983 s. 573,1983-08-23,Ett barn som i likhet med sina föräldrar är brittisk medborgare men som har hemvist i Sverige för vid svensk domstol talan om underhåll mot sin i Storbritannien bosatte fader. Svensk domsrätt har ansetts föreligga och svensk lag har ansetts tillämplig. I avsaknad av utredning om faderns personliga och ekonomiska förhållanden har bidragsskyldighet ansetts inte kunna åläggas.,"Utländskmedborgare,Underhåll,Svenskdomsrätt,",T,"12,18",M.,Pw,C.N.,Pm
T 362-82,NJA 1984 s. 600,1984-08-24,Anspråk på att under vissa förutsättningar få återköpa försåld bostadsrätt har ansetts underkastat preskription - enligt 1862 års preskriptionsförordning - varvid tidpunkten för överenskommelsen om återköp varit utgångspunkt för beräkning av preskriptionstiden.,"Återköp,Bostadsrätt,Preskription,",T,6,S.F.,Pm,S.V.P.,Pw
T 367-81,NJA 1983 s. 148,1983-02-22,Återkallelse av medgivande i mål om underhåll till barn.,"Underhåll,Medgivande,Återkallelse,Barn",T,18,H.M.,Pm,"C.G.,I.,N.","Pw,Px,Px"
T 368-87,NJA 1988 s. 396,1988-06-27,"I samband med trafikmätning kastade en kommunanställd en slang framför en bil, som då hastigt bromsades in och i anslutning härtill backade eller rullade bakåt, med skada på en bakomvarande bil som följd. Trafikförsäkringen för den förra bilen togs i anspråk för skadan, och bilens ägare förlorade därför bonus på försäkringen. Fråga om skyldighet för kommunen att ersätta bonusförlusten.","Skada,Bil,Trafikförsäkring,Ersättning,Bonus,",T,23,N.K.,Pm,Jönköpings kommun,Om
T 369-85,NJA 1988 s. 312,1988-05-04,En betalning som skett till borgenärens postgirokonto har ansetts fullgjord den dag då den bokfördes av postgirot.,"Betalning,Postgiro",T,6,Falu kommun,Om,P-O.M.,Pm
T 369-86,NJA 1990 s. 71,1990-03-01,I gränsen mellan två villafastigheter hade en oxelhäck planterats. En av fastighetsägarna lät mot den andres vilja toppklippa häcken i dess helhet. Talan om skadestånd på grund av ingreppet har lämnats utan bifall bl a med hänsyn till att häcken klipptes på det sätt som sedan många år tillbaka hade varit brukligt.,"Grannelag,Skadestånd,Självtäkt,",T,"23,19",K.A.,Px,K.B.,Px
T 370-86,NJA 1987 s. 749,1987-11-10,"Tillämpning av jämkningsregeln i 18 § 2 st trafikskadelagen då skada uppkommit på en bil vid sammanstötning med en s k hjullastare, vars förare var ensam vållande till sammanstötningen.","Jämkning,Trafikskada,Bil,Vållande",T,"23,24",Aktiebolaget Storstockholms Lokaltrafik,Cs,Justitiekanslern,Os
T 371-85,NJA 1987 s. 285,1987-04-15,"Mål om yttrandefrihet. I ett TV-program av betydande allmänintresse gjordes i en direktsänd intervju med A vissa uttalanden om två polismän, som A i början av intervjun angav namnet på. Uttalandena innebar att polismännen beskylldes för att ha misshandlat A:s bror till döds eller visade i vart fall att TV-reportern och A hade starka misstankar om detta. Programutgivaren har på grund av uttalandena fällts till ansvar för yttrandefrihetsbrott, innefattande förtal, och har förpliktats att utge skadestånd till poliserna. Vid bedömningen av om det varit ""försvarligt att lämna uppgift i saken"" har tagits hänsyn till de konkreta uppgifterna och till det sätt på vilket utpekandet av polismännen skedde men har bortsetts från frågan om uppgifterna var sanna eller inte. Viss s k sanningsbevisning, som enligt beslut tidigare under handläggningen befunnits kunna tillåtas, har således inte beaktats. (I). 2, 4, 6 och 7 §§ radioansvarighetslagen (1966:756), 7 kap 4 § 9 tryckfrihetsförordningen och 5 kap 1 § 1 st BrB. (I) Tr","Yttrandefrihet,Tryckfrihet,TV-program,",T,5,"Justitiekanslern,T.P.,L.P., S-Å.W., G.L.,X.L.","Os,Px,Px,Px,Px,Px","T.B., Sveriges Television Aktiebolag, N.R., Östersunds-Postens Tryckeri AB","Pw,Cs,Px,Cs"
T 372-82,NJA 1984 s. 482,1984-07-03,"Fråga, i visst fall, huruvida en som köpeavtal betecknad handling kunde anses uppfylla föreskriften i 4 kap 1 § JB att köpehandling skall innehålla förklaring av säljaren att egendomen överlåtes på köparen.","Köpeavtal,Formkrav,Köpavfastegendom",T,19,B.J.,Px,dödsboet efter E.H.,Px
T 373-85,NJA 1988 s. 243,1988-05-11,"Fråga om godtrosförvärv av begagnad segelbåt av inte obetydligt värde, vilken överlåtits mellan två privatpersoner.","Godtrosförvärv,Segelbåt",T,6,B.F.,Pm,I.A.,Pm
T 373-87,NJA 1989 s. 607,1989-10-23,Vid husrannsakan i en villa greps ägaren A och fördes till en polisstation för förhör. Under A:s bortovaro tillgreps pengar i villan. Fråga om staten är skyldig att ersätta skadan.,"Husrannsakan,Myndighetsutövning,Oaktsamhet,",T,23,T.L.,Pm,Staten,Os
T 375-86,NJA 1987 s. 845,1987-12-11,"Fastighetsköp har återgått på den grund att köpeskillingen i köpekontraktet angetts lägre än det verkliga beloppet och köpet därför enligt 4 kap 1 § JB är ogiltigt. Fråga om skyldighet dels för köparen att ersätta skada på fastigheten som vållats genom hans vanvård (I), dels för säljaren att ersätta köparen för nedlagda kostnader på fastigheten (II), dels för köparen att utge ersättning för avkastning under tid då han innehaft fastigheten (II).","Köpavfastegendom,Återgång,Köpeskilling,",T,19,"J-E.G,P.W.,C.W.","Pm,Pm,Pw","K.J.,E.M.G.,I.H. ","Pm,Pw,Pw"
T 376-86,NJA 1987 s. 763,1987-11-12,"I avtal om köp av fast egendom och om entreprenad bestämdes en köpeskilling som beräknades med länsbostadsnämndens preliminära lånebeslut som underlag. Sedan nämnden i slutligt beslut fastställt ett lägre belopp, återbetalade säljaren/entreprenören i enlighet med bestämmelse i entreprenadkontraktet mellanskillnaden. Avkastningsränta enligt 2 § 2 st räntelagen (1975:635) har ansetts inte skola utgå på det återbetalade beloppet.","Köpavfastegendom,Entreprenad,Köpeskilling,",T,6,"H.B.,V.B.","Px,Px",AB Katrineholms Husbyggen,Cs
T 377-85,NJA 1986 s. 590,1986-11-13,Fråga om giltigt muntligt testamente förelåg när avsikten var att ett skriftligt testamente med vittnen skulle upprättas vid ett senare tillfälle. 10 kap 3 § ÄB.,"Testamente,Vittne,Bevittning",T,12,I.B.,Px,"G.N.,A.N.,D.N.G.N,H.B,H.D,dödsboet efter W.N","Px,Px,Px,Px,Px,Px,Px"
T 379-80,NJA 1981 s. 1104,1981-11-10,"A tecknade med en bank kontrakt om checkkonto med kredit. Som säkerhet för fullgörande av A:s förpliktelser på grund av kontraktet ställde A och B, vilka var sammanboende, såsom pant ett pantbrev i en fastighet, vilken de ägde till hälften vardera. B gick även i borgen såsom för egen skuld för A:s förpliktelser mot banken på grund av kontraktet. Samma borgensåtagande gjorde C och D. Sedan B nödgats infria A:s skuld till banken på grund av kontraktet och skulden befunnits inte överstiga värdet av den av A och B gemensamt ställda panten, har B med hänsyn till föreliggande omständigheter ansetts sakna regressrätt mot C och D.","Checkkonto,Kredit,Borgen,Regressrätt",T,6,S.G.,Pw,"L.E.,H.H","Px,Px"
T 382-88,NJA 1989 s. 342,1989-06-22,Bland ett dödsbos tillgångar fanns en redovisningsfordran gentemot ett aktiebolag. För en statens fordran mot en av dödsbodelägarna utmätte kronofogdemyndighet dennes andel i fordringen och meddelade bolaget förbud att betala ut något av det utmätta till annan än kronofogdemyndigheten eller den som myndigheten anvisade. Bolaget betalade likväl ut fordringsbeloppet till dödsboet. Kronofogdemyndigheten har inte ansetts ha haft befogenhet att för dödsbodelägarens gäld utmäta någon del av fordringsbeloppet och av staten förd talan mot bolaget om betalningsskyldighet för del av beloppet har ogillats. 4 kap 17 § och 6 kap 3 § UB.,"Utmätning,Dödsbo,Dödsbodelägare,",T,"23,10",Riksskatteverket,Oa,Fernlund Mäklare Aktiebolag,Cs
T 384-86,NJA 1987 s. 621,1987-09-16,"Fråga om behandlingen av yrkande om ersättning för rättegångskostnader i tvistemål, vari allmän rättshjälp inte förekommer (I och II).","Rättegångskostnader,Ersättning",T,18,"O:s Rör i Ljungby AB,P.Å.,I.N","Cs,Px,Px","Fastighetsaktiebolaget Stockholms Badhus,Bostadsrättsföreningen Lunden","Cs,Cs"
T 39-80,NJA 1981 s. 815,1981-06-25,"En hundraårig träbyggnad var vid fastighetens försäljning utsatt för husbocksangrepp. Felet hade kunnat upptäckas av köparen, om han undersökt fastigheten tillräckligt noggrant, vilket emellertid ej skett. Att säljaren bort misstänka att insektsangrepp pågick men köparen ej fått upplysning om sådan misstanke har ansetts ej betaga säljaren rätten att i mål om felansvar åberopa, att köparen eftersatt sin undersökningsplikt. 4 kap 19 § JB.","Husbock,Fel,Fastegendom,Undersökningsplikt",T,19,L.E.,Pm,Lantbruksnämnden i Stockholms län,Oa
T 39-83,NJA 1985 s. 219,1985-03-20,"Fråga, när två fastighetsmäklare successivt har varit verksamma för att få till stånd försäljning av en fastighet, om det har förelegat ett sådant orsakssammanhang mellan den förste mäklarens verksamhet och det ingångna köpeavtalet att han bör ha rätt till provision.","Fastighetsmäklare,Försäljning,Provision",T,6,Svenska Sparbankernas Fastighetsbyrå AB,Cs,L.J.,Pm
T 39-88,NJA 1990 s. 35,1990-02-15,"Två makar har åtagit sig ett garantiansvar för att ett bolag skulle fullgöra sin förpliktelse att utge pension till en tredje person. Den särskilda regeln i 2 § 3 st preskriptionslagen om beräkning av preskriptionstid för pensionsfordringar har ansetts tillämplig på garantiåtagandet. Regeln har tolkats så, att varje rättighet på grund av åtagandet är preskriberad, om någon preskriptionsavbrytande åtgärd inte har vidtagits inom tio år från den dag då krav på betalning till följd av åtagandet tidigast har kunnat göras gällande. Det har vidare ansetts att, i den mån makarna i egenskap av företrädare för bolaget medverkade till att pensionsbelopp betalades ut, detta inte har haft någon preskriptionsavbrytande verkan såvitt gäller garanti åtagandet.","Preskription,Preskriptionstid,Garantiåtagande,",T,"6,23",X.X.,Px,"G.L.,M-B.L.","Px,Px"
T 390-80,NJA 1984 s. 185,1984-03-16,"Bolaget K, som hade en fordran på bolaget A enligt revers, försattes i konkurs. A hade en fordran hos K, som fick göras gällande i konkursen. Vid tidpunkten för konkursbeslutet var emellertid K:s reversfordran pantförskriven till en bank till säkerhet för K:s förpliktelser gentemot banken. Under konkursen förklarade banken, som hade även andra säkerheter, sig avstå från panträtten i reversfordringen. A har ansetts ha rätt till kvittning i konkursen. 121 § konkurslagen.","Konkurs,Fordran,Pantförskrivning,Revers,",T,"10,23",Konkursboet för Kullgrens Enka AB,Es,AKF Granit AB,Cs
T 390-85,NJA 1987 s. 22,1987-01-15,Varumärkesmål. Fråga om tillämpning av föreskriften i 25 § 2 st varumärkeslagen (1960:644) om s k användningstvång.,"Varumärke,Användningstvång",T,14,Anheuser-Busch Incorporated,Cf,Budejovicky Budvar,Cf
T 390-87,NJA 1989 s. 74,1989-03-01,"Hyresgäst, som enligt förhandlingsklausul i hyreskontraktet blivit bunden av en mellan hyresvärden och hyresgästförening träffad överenskommelse om höjning av hyran med 30 kr i månaden för installation av kabel-TV-antenn, har under tio månader vägrat erlägga det nämnda beloppet. Fråga huruvida han därigenom förverkat sin hyresrätt eller om hans underlåtenhet varit av ringa betydelse.","Hyra,Förverkandeavhyresrätt",T,19,Hallstahammars Fastighets AB,Cs,T.K.,Pm
T 391-86,NJA 1988 s. 176,1988-03-28,Obehörig vinst enligt 74 § växellagen (1932:130)?,"Obehörigvinst,Växel,Valuta,",T,6,M.P.,Px,U.S.,Px
T 397-82,NJA 1983 s. 821,1983-12-15,Fråga om underhållsbidrag under övergångstid efter äktenskapsskillnad.,"Underhållsbidrag,Äktenskapsskillnad,Maka",T,12,B.A.,Pm,S.A.,Pw
T 397-85,NJA 1986 s. 615,1986-11-20,Internationella rättsförhållanden. Fråga om val av tillämplig lag beträffande underhållsbidrag efter äktenskapsskillnad.,"Underhåll,Äktenskapsskillnad,Internationella",T,12,M.C.,Pw,X.C.,Pm
T 4-87,NJA 1989 s. 92,1989-03-07,"Bolagsman i handelsbolag har ansetts inte ha ett fortsatt ansvar gentemot bolagets borgenärer för förpliktelser från vilka bolaget befriats genom ackord. 2 kap 20 § 1 st lagen (1980:1102) om handelsbolag och enkla bolag, jfr 21 § ackordslagen (1970:847).","Ackord,Bolagsman,Handelsbolag,Solidariskt",T,"7,10",Malmö Autotillbehör AB,Cs,"B.G.,L-G.G.","Pm,Px"
T 4-88,NJA 1989 s. 269,1989-06-07,Fem personer verksamma i ett aktiebolag tecknade generell proprieborgen för bolagets förpliktelser gentemot en bank. Vidare tecknades särskild proprieborgen av två andra personer för den kredit som lämnades. Banken friskrev sedermera två av dem som tecknat generell borgen. Banken har ansetts inte ha haft rätt härtill och det solidariska ansvaret för återstående borgensmän har funnits vara upplöst till följd av den oberättigade friskrivningen. Fråga också om borgen av de två som tecknat särskild borgen skall anses vara s k efterborgen.,"Borgen,Efterborgen,Eftergift,Preskription,",T,6,Svenska Handelsbanken,Cs,"N-O.S.,J.S.,B.F.,U.S.,S.W.","Px,Px,Px,Px,Px"
T 401-81,NJA 1983 s. 379,1983-05-26,Fråga om jämkning jämlikt 6 kap 2 § skadeståndslagen av skadestånd på grund av uppsåtligt brott.,"Skadestånd,Jämkning,Uppsåtligtbrott",T,23,PK-banken,Cs,J.B.,Pm
T 405-82,NJA 1985 s. 879,1985-12-23,"Ett danskt företag sålde textilvaror ""u franco Odense"" till ett svenskt företag, som anlitade ett annat svenskt företag som speditör. Sedan varorna kommit till Borås och efter köparens anvisning lagts in i speditörens tullager, gick köparen i konkurs, varefter säljaren gjorde gällande stoppningsrätt med åberopande av 39 § köplagen. Speditören utlämnade likväl varorna till konkursboet. I målet - där svensk lag har tillämpats - har det ansetts att varorna kommit i köparens besittning i och med att han begärde att speditören skulle lagra varorna. Till följd därav har säljarens stoppningsrätt enligt såväl 39 som 41 § köplagen gått förlorad.","Speditör,Konkurs,Stoppningsrätt,Besittning",T,"6,24",Nordisk Tekstil Væveri Aktieselskab,Cf,"Tedder Kläder Aktiebolag,Aktiebolaget Transportkompaniet","Cs,Cs"
T 407-85,NJA 1986 s. 696,1986-12-09,"En bilförsäljare sålde genom kreditköp en bil till en konsument och överlät kreditfordringen till ett finansbolag. Bilförsäljaren sålde därefter genom ett nytt kreditköp en annan bil till konsumenten och köpte samtidigt tillbaka den första bilen. Han överlät även den nya kreditfordringen till finansbolaget men underlät att underrätta detta om återköpet. Finansbolagets talan mot konsumenten om betalning för den första kreditfordringen har, ehuru 10 § 1 st konsumentkreditlagen ej ansetts tillämplig, likväl med hänsyn till omständigheterna blivit ogillad.","Kreditköp,Bil,Konsument,Finansbolag,",T,6,Svenska Finans AB Svefina,Cs,B.W.,Pm
T 41-86,NJA 1987 s. 89,1987-02-20,"Fullföljdsförbudet i 8 kap 33 § JB i frågor om förlängning av arrendeavtal har ansetts omfatta även beslut, som HovR:n meddelat angående rättegångskostnad parterna emellan eller angående ersättning till statsverket för kostnad i anledning av motparts rättshjälp.","Fullföljdsförbud,Förlängning,Arrendeavtal,",T,19,O.Å.,Px,"M.H.,G.H.","Px,Px"
T 410-86,NJA 1988 s. 197,1988-03-30,S k dold äganderätt till fast egendom har ansetts ej kunna förvärvas när krav på förvärvstillstånd enligt jordförvärvslagen inte varit uppfyllt.,"Doldäganderätt,Fastegendom,Förvärvstillstånd",T,19,E.E.,Pm,M.K.,Pw
T 411-83,NJA 1985 s. 117,1985-02-15,Återvinning enligt 37 § konkurslagen har ansetts inte kunna äga rum i fråga om säkerhet som konkursgäldenären ställt för annans skuld.,"Konkurs,Återvinning,Säkerhet",T,10,Skåneskog Aktiebolags Konkursbo,Es,Lantbrukarnas Ekonomi-Aktiebolag,Cs
T 414-81,NJA 1984 s. 49,1984-02-01,I mål om faderskap har samlag mellan modern och svaranden under konceptionstiden ej ansetts tillförlitligen utrett genom den på samlagsfrågan direkt inriktade bevisningen. Genom denna b e visning sammanställd med resultaten från den blodgenetiska u n dersökningen och övriga omständigheter har HD emellertid funnit styrkt att svaranden är barnets far. Faderskap för svaranden har därför fastställts.,"Faderskap, Samlag, Bevisning, Blodundersökning",T,12,R.J.,Pm,T.G.,Pm
T 416-86,NJA 1988 s. 620,1988-12-08,Fråga om styrelseledamöters ansvar enligt 13 kap 2 § aktiebolagslagen.,"Aktiebolag,Styrelseledamot,Ansvar",T,7,H:s Rör AB,Cs,"A.A.,L.R.,K.P-J.","Pm,Pm,Pm"
T 419-80,NJA 1981 s. 1225,1981-12-15,"Moder har inte tillerkänts rätt till umgänge med 10-årig son, då det av utredningen framgick att sådant umgänge skulle kunna allvarligt skada sonens psykiska hälsa. 6 kap 11 § FB.","Umgänge,Psykiskhälsa",T,12,J.S.,Pm,L.H.,Pw
T 419-81,NJA 1983 s. 617,1983-09-29,"Ägaren till en travhäst träffade avtal med en travtränare om att denne skulle omhänderha hästen samt trana hästen och tävla med den. Hästen skadades och dog under träning. Tränaren ansågs i detta fall vara underkastad vanligt vållandeansvar, ej s k presumtionsansvar. Av ägaren förd skadeståndstalan mot tränaren ogillades följaktligen, då det inte ansågs styrkt att försummelse låg tränaren till last.","Häst,Skada,Vållande,Presumtionsansvar,",T,"6,23",S.H.J. AB,Cs,A.A.,Pm
T 419-85,NJA 1987 s. 716,1987-10-28,"Preskriptionstid för beställares fordran på grund av fel i byggnadsentreprenad har, när ej annan tidpunkt för fullgörandet av entreprenörens huvudförpliktelse än dagen för överlämnandet av byggnaden angetts, ansetts löpa från denna dag.","Preskription,Byggnadsentreprenad,Frist,",T,6,K.J.,Pm,HSB Kalmar län ek för,Cs
T 420-86,NJA 1987 s. 746,1987-11-09,Fråga om rätt till kvittning när huvudfordringen avser ersättning för psykiskt lidande och personskada.,"Ersättning,Psykisktlidande,Personskada,",T,"6,23","åklagare, S.J.","Oa,Pw",K.J.,Pm
T 422-86,NJA 1988 s. 106,1988-03-02,Fråga huruvida HovR ägt avgöra tvistemål utan huvudförhandling. 50 kap 21 § 3 st RB.,"Huvudförhandling,Hovrätt",T,18,A.D.,Pw,Borgholms kommun,Om
T 426-83,NJA 1985 s. 424,1985-05-29,"En i va-taxa föreskriven engångsavgift för småhusfastigheter, som ansluts till kommunal va-anläggning, är uppdelad i dels en grundavgift, dels en avgift för varje byggnad avsedd för bostadsändamål, dels en avgift vars storlek gjorts beroende av den särskilda fastighetens tomtyta. Vid bestämmande av engångsavgiften för fastighet, som bildats genom avstyckning från en redan tidigare ansluten fastighet, har tomtyteavgift befunnits ej skola utgå i den mån tomtytefaktorn kunde anses beaktad redan vid den fördelning av avgiftsskyldigheten som skedde i samband med att ursprungsfastigheten anslöts till va-anläggningen. 26 § lagen (1970:244) om allmänna vatten- och avloppsanläggningar.","Va-taxa,Avgift,Avgiftsskyldighet",T,19,S.K.,Px,Göteborgs Kommun,Om
T 426-88,NJA 1990 s. 676,1990-11-28,"Sedan utfart från fastigheter till riksväg stängts av, har fastigheternas ägare, som för sin verksamhet med tunga fordon och maskiner var beroende av utfarten, inköpt närbelägen fastighet, varifrån han hade tillträde till riksvägen. Fråga huruvida härigenom uppkomna kostnader kunde ersättas enligt 58 § väglagen (1971:948).","Allmänväg,Väg,Ersättningsskyldighet,",T,23,I.N.,Pm,Vägverket,Oa
